"system:time_start","SPI-1","1-month precip"
"Jun 1, 2016","2.404","208.535"
"Jul 1, 2016","2.713","199.429"
"Aug 1, 2016","1.355","141.121"
"Sep 1, 2016","2.216","395.963"
"Oct 1, 2016","0.569","374.552"
"Nov 1, 2016","3.755","873.62"
"Dec 1, 2016","-1.35","236.389"
"Jan 1, 2017","0.16","260.856"
"Feb 1, 2017","-0.649","243.37"
"Mar 1, 2017","0.072","319.955"
"Apr 1, 2017","1.248","407.067"
"May 1, 2017","0.288","276.237"
"Jun 1, 2017","1.286","153.47"
"Jul 1, 2017","-0.143","64.868"
"Aug 1, 2017","-0.635","29.669"
"Sep 1, 2017","0.057","83.724"
"Oct 1, 2017","0.569","300.236"
"Nov 1, 2017","1.744","643.108"
"Dec 1, 2017","-0.18","359.376"
"Jan 1, 2018","-0.726","202.781"
"Feb 1, 2018","0.903","335.786"
"Mar 1, 2018","0.411","343.115"
"Apr 1, 2018","-0.74","260.096"
"May 1, 2018","-0.68","165.394"
"Jun 1, 2018","-0.572","60.417"
"Jul 1, 2018","-1.102","13.88"
"Aug 1, 2018","-0.852","19.13"
"Sep 1, 2018","-0.467","42.076"
"Oct 1, 2018","-0.933","85.562"
"Nov 1, 2018","0.386","444.682"
"Dec 1, 2018","-0.539","321.287"
"Jan 1, 2019","-0.397","224.474"
"Feb 1, 2019","0.561","314.876"
"Mar 1, 2019","0.423","344.181"
"Apr 1, 2019","0.246","333.304"
"May 1, 2019","-0.901","140.108"
"Jun 1, 2019","-0.761","50.854"
"Jul 1, 2019","-0.999","19.393"
"Aug 1, 2019","-0.912","16.67"
"Sep 1, 2019","-0.848","11.616"
"Oct 1, 2019","-1.276","36.559"
"Nov 1, 2019","-1.234","210.637"
"Dec 1, 2019","0.385","417.79"
"Jan 1, 2020","-0.232","235.79"
"Feb 1, 2020","0.688","342.236"
"Mar 1, 2020","0.512","350.876"
"Apr 1, 2020","0.156","297.159"
"May 1, 2020","1.723","382.555"
"Jun 1, 2020","-0.562","53.687"
"Jul 1, 2020","0.491","88.41"
"Aug 1, 2020","0.037","65.6"
"Sep 1, 2020","-0.036","124.854"
"Oct 1, 2020","0.063","294.969"
"Nov 1, 2020","-0.144","366.118"
"Dec 1, 2020","0.157","394.805"
"Jan 1, 2021","0.18","262.523"
"Feb 1, 2021","1.579","376.615"
"Mar 1, 2021","-0.746","268.268"
"Apr 1, 2021","-0.675","264.885"
"May 1, 2021","0.165","262.088"
"Jun 1, 2021","0.626","120.454"
"Jul 1, 2021","-0.573","42.097"
"Aug 1, 2021","0.821","98.476"
"Sep 1, 2021","0.718","136.532"
"Oct 1, 2021","0.849","340.717"
"Nov 1, 2021","2.373","734.286"
"Dec 1, 2021","-0.281","348.346"
"Jan 1, 2022","-0.678","206.508"
"Feb 1, 2022","-0.733","238.131"
"Mar 1, 2022","0.994","379.51"
"Apr 1, 2022","1.358","415.728"
"May 1, 2022","0.911","347.711"
"Jun 1, 2022","0.559","116.693"
"Jul 1, 2022","1.431","148.771"
"Aug 1, 2022","0.785","95.515"
"Sep 1, 2022","1.732","217.416"
"Oct 1, 2022","1.207","392.081"
"Nov 1, 2022","1.709","637.663"
"Dec 1, 2022","-0.653","309.338"
"Jan 1, 2023","-0.73","202.846"
"Feb 1, 2023","0.888","335.221"
"Mar 1, 2023","-0.455","285.944"
"Apr 1, 2023","1.276","410.17"
"May 1, 2023","-0.665","166.963"
"Jun 1, 2023","-0.406","68.763"
